question,document
How does the AI Copilot in Kestra help if I want to create or modify a workflow from plain English?,bfe5502c30
"Can I use tools like Claude Code, Codex, or Kestra CTL to generate flows and send them to Kestra directly from my editor?",bfe5502c30
What’s the main difference between Kestra and Airflow when it comes to where the Python logic lives and how workflows are defined?,bfe5502c30
"For very simple automations, like sending a Slack message when something happens, should I use Kestra or is Zapier/n8n a better fit?",bfe5502c30
Why does ChatGPT sometimes make up Kestra YAML fields like bucket or name instead of the real ones?,93a3e8b98c
How can I tell if the YAML an AI generated for a Kestra flow matches the plugin docs?,93a3e8b98c
What’s the right way to write a GCS upload step in Kestra if the model gives me bucket and name?,93a3e8b98c
"For Kestra BigQuery loading, is destinationTable the only field I should use instead of projectId, dataset, and table?",93a3e8b98c
"How do I avoid broken Kestra flow YAML when using AI tools, especially if plugin versions differ?",93a3e8b98c
Why should I keep track of token usage in a Kestra workflow?,a4adc70f41
How does token counting help control LLM costs in scheduled or looping flows?,a4adc70f41
What is the point of monitoring prompt and response tokens in a Kestra AI task?,a4adc70f41
How can token usage data help me spot expensive or runaway runs early?,a4adc70f41
"Where does Kestra get the token numbers from, and how can I use them in logs or dashboards?",a4adc70f41
"Why am I getting the Docker error about ""mounts denied"" and a host path under /tmp not being shared?",dd8b4c9fda
How do I allow Docker Desktop to use /tmp or /tmp/kestra-wd when a container mount fails?,dd8b4c9fda
What settings do I change in Docker Desktop to fix the shared path issue for Kestra?,dd8b4c9fda
"I keep seeing ""The path /tmp/... is not shared from the host"" when starting docker compose — how do I solve it?",dd8b4c9fda
"After adding /tmp to Docker Desktop file sharing, what should I do to bring Kestra back up?",dd8b4c9fda
"For the Module 3 Kestra homework, what exactly do I need to put in the GitHub repo if most of the work was done in the Kestra UI?",f29f622684
"Do I submit the actual Kestra flow YAML files for this homework, and should I include any scripts the flows use too?",f29f622684
"Is a README required for the Module 3 homework repo, or is it enough to upload the flow files?",f29f622684
"What should the repo structure look like for the Kestra homework submission, and does the repo need to be public?",f29f622684
"Where do I put the answers to Q1, Q2, etc. for Module 3 — in the repo or in the homework submission form?",f29f622684
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the ground-truth questions the model generated?,a3c7e1b4f9
How can I make the LLM return only valid JSON instead of wrapping it in a code block or adding extra text?,a3c7e1b4f9
What should I pass to the OpenAI chat completion call so `json.loads(...)` works without failing?,a3c7e1b4f9
Do I need to change my prompt wording to get a JSON object with just a `questions` field?,a3c7e1b4f9
Is there a provider-specific way to force JSON output in Gemini or Groq like OpenAI’s `response_format`?,a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth set in Module 4?,b8f2d6a30c
Is there a lighter embedding model I can use if my notebook runs out of RAM on Codespaces?,b8f2d6a30c
"If embedding the dataset in the notebook kills the kernel, what's the easiest workaround?",b8f2d6a30c
Do I need to rerun the eval metrics if I switch to a smaller sentence-transformers model?,b8f2d6a30c
How can I avoid memory issues while embedding the ground-truth rows on a low-RAM laptop or default Codespace?,b8f2d6a30c
Why am I still getting rate-limit errors with Gemini even after adding a sleep between requests?,c1e9f4b820
What's the best cheap alternative if Gemini free tier keeps blocking me while I build the ground-truth data?,c1e9f4b820
Can I use some other model with a free tier that handles many requests better for generating labels?,c1e9f4b820
How can I avoid blowing through the daily API quota when I'm looping over a lot of examples?,c1e9f4b820
Is there a way to continue from the point where the job stopped instead of starting the whole ground-truth generation again?,c1e9f4b820
How do I fix the WinError 126 / fbgemm.dll missing error on Windows when importing torch?,15e931476c
What should I install if Python says it can’t load fbgemm.dll on Windows?,15e931476c
"Is Visual Studio Code enough to solve the torch fbgemm.dll dependency error, or do I need Visual Studio itself?",15e931476c
"Why am I getting OSError: [WinError 126] with torch
glib/fbgemm.dll on Windows 10/11?",15e931476c
What are the usual fixes for the PyTorch fbgemm.dll missing module problem in Windows?,15e931476c
"I'm getting `psycopg2.OperationalError: could not translate host name ""postgres"" to address` when I run `python prep.py`. What should I change in my setup?",4b65d5542d
How do I fix the database connection error where the host name `postgres` can't be resolved during `prep.py`?,4b65d5542d
"Why does `python prep.py` fail with `No such host is known` for `postgres`, and what's the right host value instead?",4b65d5542d
"In the Monitoring module, my script throws an OperationalError pointing to `postgres` as an unknown host. What setting in `.env` needs to be updated?",4b65d5542d
"What's the fix for the `could not translate host name ""postgres"" to address` error in this project?",4b65d5542d
"How can I make Pandas show the full text in a column instead of cutting it off with ""...""?",641aedbbf5
"In the offline-rag-evaluation notebook, how do I view the complete Explanation column from the LLM-as-judge output?",641aedbbf5
What Pandas setting changes the maximum column width so long strings are displayed fully?,641aedbbf5
"Why does Pandas only show about 50 characters in a text column, and how do I turn that off?",641aedbbf5
Is there a simple Pandas command to stop truncating long explanation text in a dataframe?,641aedbbf5
How do I normalize a vector stored in a Pandas DataFrame column?,5039707c1a
What’s the easiest way to scale each vector in a Pandas Series to unit length?,5039707c1a
Can I use NumPy norm to normalize vectors inside a DataFrame column?,5039707c1a
How would I create a new column with normalized versions of the vectors from an existing column?,5039707c1a
Is there a simple apply-based way to normalize vectors in pandas?,5039707c1a
How do I get the 75th percentile for a pandas DataFrame column?,b4c8ac5a0c
What’s the simplest way to compute a quantile for a pandas Series?,b4c8ac5a0c
How can I find the 0.75 quantile of a column in pandas?,b4c8ac5a0c
Is there a pandas method for getting percentiles from a DataFrame column?,b4c8ac5a0c
How do I calculate a column’s percentile value with pandas `quantile`?,b4c8ac5a0c
"How do I delete every Docker container from the terminal, even the ones still running?",66ccbb7da0
What’s the command to remove all Docker images at once?,66ccbb7da0
How can I wipe out all Docker volumes from the command line?,66ccbb7da0
Is there a quick way to clean up all containers and images in Docker using terminal commands?,66ccbb7da0
"How do I fully reset Docker by removing containers, images, and volumes from the shell?",66ccbb7da0
"How can I make a Streamlit feedback widget only allow one vote per submission, with the +1 and -1 buttons disabled until the ask button is used?",2e729f1271
Why does `st.session.submitted` keep getting set back to True in my Streamlit app even after I press one of the feedback buttons?,2e729f1271
I’m trying to stop users from giving feedback more than once for each prompt in Streamlit. What’s the best way to handle the session state here?,2e729f1271
"In Streamlit, my feedback buttons should only work after submitting text, but `st.session.submitted` seems to be reassigned unexpectedly. Has anyone solved this?",2e729f1271
"What should I do if a Streamlit session variable like `submitted` gets changed again after a feedback button is clicked, and I want one response per submission?",2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" only when I start my app with docker-compose, even though it works locally?",e8df9f0d12
What should I check first if docker-compose fails with an OCI runtime error when launching a Streamlit container?,e8df9f0d12
"Do I need a Dockerfile for a Streamlit app that I want to run with docker-compose, and how does it affect this error?",e8df9f0d12
"How can I fix the container startup issue where Docker says it can't find the ""streamlit"" command in PATH?",e8df9f0d12
"After changing my docker-compose setup for Streamlit, what command should I run so the new image gets built and the app starts correctly?",e8df9f0d12
"Is the capstone project supposed to be done solo, or can we submit it as a team?",0fab61eca2
Can I brainstorm or work on a bigger idea with other students and still turn it in as my own project?,0fab61eca2
"If two people build one shared system, is that okay for the capstone?",0fab61eca2
What happens if the project can’t be checked separately for each person?,0fab61eca2
Do we need separate repos and separate parts if multiple students use the same overall idea?,0fab61eca2
"For the capstone project, do I have to submit two separate projects, or is one enough?",d5fc98925d
What exactly do “attempt 1” and “attempt 2” mean in the project submission process?,d5fc98925d
"If my first project submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
"Can I submit a second project just to practice, and if so, does it need a different topic and dataset?",d5fc98925d
What happens if I miss the first submission window — do I still get another chance to submit?,d5fc98925d
Is the competition itself considered the capstone project?,e892d44e42
Can I do the capstone as part of the Kaggle competition team?,e892d44e42
"If I join the math-kaggle-llm-competition with others, does that replace the capstone?",e892d44e42
"Is the capstone project supposed to be individual, or can it be a group effort?",e892d44e42
Does taking part in the competition count toward the capstone requirement?,e892d44e42
How will the capstone project be graded in this course?,9a2e2d2008
Who reviews the capstone project after I submit it?,9a2e2d2008
Will I have to grade other students’ capstone projects too?,9a2e2d2008
What happens if I don’t review the required number of peer projects?,9a2e2d2008
How is the final capstone score calculated from the peer reviews?,9a2e2d2008
When do we get assigned projects to review for grading in the capstone project?,eae0fb50aa
How are the review assignments given out after the submission deadline?,eae0fb50aa
"Will each participant be assigned more than one project to grade, and if so how many?",eae0fb50aa
What happens after the capstone submission deadline regarding peer review tasks?,eae0fb50aa
How will the project review list be shared with students once submissions are closed?,eae0fb50aa
"I already sent in my capstone project, but why don’t I see anything to review yet?",a8a7fef016
"After the deadline, do we pick which projects to grade, or are they assigned to us?",a8a7fef016
Can I start reviewing other students’ projects before the review list is out?,a8a7fef016
"If I’ve submitted my own project, when should I expect projects to be assigned for evaluation?",a8a7fef016
Why is the project review section empty even though the submission deadline has passed?,a8a7fef016
Where can I look for project ideas and datasets for the capstone project?,e76a70cde3
Is there a place with a list of possible datasets I can use for the project?,e76a70cde3
I’m looking for inspiration for my capstone project — do you have a page with ideas and guidelines?,e76a70cde3
Can I find some suggested datasets and project directions somewhere online?,e76a70cde3
What’s the best link to check if I need help choosing a topic or dataset for the project?,e76a70cde3
"Do I need Airflow, Mage, or Kestra for the capstone ingestion pipeline, or is a simple Python script enough?",d4f7c08ea1
"Can I use a Jupyter notebook for the project ingestion step, and how does that affect the score?",d4f7c08ea1
Will I lose points if I don’t use an orchestration tool in my capstone project?,d4f7c08ea1
When would it actually make sense to add an orchestrator to the capstone instead of just using Python?,d4f7c08ea1
Is it okay to skip Airflow/Mage/Kestra and still get full points for the ingestion pipeline criterion?,d4f7c08ea1
How can I test a recommender-style RAG if I don’t have clear ground-truth Q&A pairs?,9b0e2d6a47
What’s a good way to create synthetic labels for evaluating retrieval in a recommendation RAG project?,9b0e2d6a47
"Can I use an LLM to judge the quality of my RAG outputs, and how would that work?",9b0e2d6a47
"For ranking-based RAG, is hit rate enough or should I use something like NDCG?",9b0e2d6a47
How do I measure whether my retriever is bringing back the right item when several answers could be acceptable?,9b0e2d6a47
How should I chunk a really big corpus with long PDFs and lots of paragraphs for my capstone?,6f2a8b3d10
"Is it okay to just start with a simple fixed-size chunking setup, or should I try something smarter from the beginning?",6f2a8b3d10
Would it make sense to have an LLM split documents into sections instead of using plain token chunks?,6f2a8b3d10
"Should I add short summaries to each chunk to help retrieval, and does that actually help?",6f2a8b3d10
"For long structured docs like legal or financial PDFs, is hybrid search better than dense retrieval alone?",6f2a8b3d10
What exactly do you mean by reproducibility for the capstone — does the reviewer need my API keys to run it?,e5d8a2c761
How should I let someone rebuild the search index from my repo without giving out secrets?,e5d8a2c761
"Do I need to commit my .env file, or is there a safer way to show which variables are required?",e5d8a2c761
Which model should I pick so reviewers can test the project without spending too much credit?,e5d8a2c761
What should I pin or document in the project so other people can recreate the environment reliably?,e5d8a2c761
"Can I do the homework and final project in something other than Python, like JavaScript, Go, or Rust?",ea815eb858
"Is Python required for the assignments in this course, or can I choose my own stack if I want?",ea815eb858
"If I build the capstone project with a non-Python language, what do I need to include so the reviewer can run it?",ea815eb858
"Would using Java, Scala, C#, TypeScript, or R be allowed for the project, and does that affect review?",ea815eb858
What should the README say if my homework or project is not written in Python?,ea815eb858
Where do I check out old LLM Zoomcamp capstone projects submitted by students?,930286278d
Is there a place to see examples of previous LLM Zoomcamp project repos?,930286278d
Can I look at 2024 and 2025 LLM Zoomcamp project submissions somewhere?,930286278d
I want to get a feel for the expected capstone project scope — where are past submissions listed?,930286278d
Do you have links to earlier LLM Zoomcamp projects I can browse for inspiration?,930286278d
Do I need to announce or reserve my capstone project idea before I start?,897a350476
Should I ask permission first if I want to work on an idea that’s similar to someone else’s project?,897a350476
"Is it okay to choose the same topic as a previous capstone project, or do I need something totally new?",897a350476
Where can I check past LLM Zoomcamp projects to get a sense of scope and ideas?,897a350476
"If I’m unsure about my project idea, can I ask for feedback in Slack instead of reserving it?",897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a web app?,7318a90b14
"Are there any limits on how I expose the project to users, or can I choose any interface I want?",7318a90b14
"Would a CLI, Slack app, or even a notebook count as a valid way to deliver the project?",7318a90b14
"If I use a non-web interface for the capstone, do I still need to meet the same evaluation criteria?",7318a90b14
"Does the course show how to create these interfaces, or do I need to set that up myself?",7318a90b14
"What’s a good tool to pull text out of PDFs for a RAG capstone, especially if I don’t want to follow one fixed course recommendation?",d8b28c47a0
"If my PDFs are scanned images with no text layer, what OCR option should I use to extract the content?",d8b28c47a0
Is there a library that can turn PDFs into Markdown or structured JSON for RAG use?,d8b28c47a0
What do people use when they need to handle lots of document formats and weird layouts in their project?,d8b28c47a0
"Should I test a few PDF/OCR tools on my own docs first, or is there a standard one I should just use?",d8b28c47a0
"Can I use the workshop stuff in my own capstone project, or is it only for the class?",d850a0e7ea
Is it okay to reuse these dlt workshop materials in other projects outside this workshop?,d850a0e7ea
"Can I take what I learned here and use dlt in another Zoomcamp project, like MLOps?",d850a0e7ea
Are we allowed to ask questions about using this content directly in our own projects?,d850a0e7ea
"Since dlt is open source, can I share or apply the workshop content wherever I want?",d850a0e7ea
How do I start a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to initialize a filesystem-to-duckdb dlt pipeline?,6bceeebf04
I want to create a fresh dlt setup for cloud files — what’s the initial terminal command?,6bceeebf04
Is there a quick way to bootstrap a dlt project with filesystem and DuckDB?,6bceeebf04
Where do I begin if I need to load from a cloud filesystem into DuckDB with dlt?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I call `db.open_table(""notion_pages___homework"")`?",0407213397
What should I check in my pipeline if opening `notion_pages___homework` says the table doesn't exist?,0407213397
"I renamed the table to `homework`, but `db.open_table` still fails — what am I missing?",0407213397
How do I fix the `Table notion_pages___homework does not exist` error in the dlt workshop?,0407213397
Could this error be because I didn't replace every `employee_handbook` reference with `homework` in the pipeline config?,0407213397
"Why am I getting FileNotFoundError for notion_pages___homework when I run main(), and how do I fix it?",e95bfafc0e
"In the dlt workshop, what should I put in line 3 so the homework table opens correctly?",e95bfafc0e
My code says Table notion_pages___homework does not exist — do I need to create it first or use a different table name?,e95bfafc0e
"How do I avoid the db.create_table(notion_pages___homework, data) error when working with the homework notebook?",e95bfafc0e
What is the correct db.open_table call for the notion_pages___homework table in the open-source data ingestion workshop?,e95bfafc0e
How can I see all the tables that exist in the database?,e394e6f738
What method should I use to list the tables in my db?,e394e6f738
Is there a simple way to check which tables are available in the database?,e394e6f738
How do I get the names of every table in the db?,e394e6f738
Which command shows all table names in the database?,e394e6f738
Does dlt support ClickHouse or StarRocks connectors right now?,cd19f122f3
Are there any built-in connectors in dlt for ClickHouse and StarRocks?,cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks?,cd19f122f3
Is ClickHouse or StarRocks integration available in dlt yet?,cd19f122f3
"If dlt doesn't have ClickHouse or StarRocks connectors, can the community add them?",cd19f122f3
"Why am I getting a 401 Unauthorized error when my notebook calls the Notion search API, and how do I fix it?",0dfba07ace
My notebook says it doesn’t have secret access for api.notion.com/v1/search. What should I check first?,0dfba07ace
Could this Notion API 401 error be caused by a bad token or expired key?,0dfba07ace
"I can reach the notebook, but the Notion request fails with unauthorized. Is this an auth/config issue?",0dfba07ace
What are the usual reasons the Notion API returns 401 Client Error in this workshop notebook?,0dfba07ace
How do I install the newer requests version directly from the source if pip keeps giving me 2.28?,4b30b918bc
What command can I use to force requests 2.32.3 for lancedb instead of the older pip version?,4b30b918bc
My setup only installs requests 2.28 — how can I pull the required version from GitHub?,4b30b918bc
Is there a pip install command for getting requests 2.32.3 from the official source zip?,4b30b918bc
"If I run into a 401 Client Error, could that mean my key is wrong or access needs to be granted?",4b30b918bc
